index,sample,fpl,SWB_2,FWBscore,FWB1_1,FWB1_2,FWB1_5,FWB2_3,FSscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,SAVEHABIT,ENDSMEET,HOUSING,HOUSERANGES,MORTGAGE,SAVINGSRANGES,PRODHAVE_1,PRODHAVE_2,PRODHAVE_3,PRODHAVE_5,PRODUSE_1,VOLATILITY,MATHARDSHIP_3,COLLECT,REJECTED_1,SHOCKS_8,MATERIALISM_3,HEALTH,PPEDUC,EMPLOY,agecat,generation,PPETHM,PPGENDER,PPINCIMP,PPMARIT,Util_cutoff_no_pay,Property taxes Mean,Mortgage interest and charges Mean,"Utilities, fuels, and public services Mean",Telephone services Mean,"Residential phone service, VOIP, and phone cards Mean",Cellular phone service Mean,Health insurance Mean,Education Mean
0,3,4,6,56,4,4,3,3,45,5,5,3,5,3,2,5,3,7,2,2,2,2,1,3,2,2,1,2,5,3,5,9,9,2,2,2,8,4,2,2055,3598,3932,1450,161,1289,3236,1469
1,2,4,7,52,3,3,4,3,44,5,5,2,2,3,2,5,3,3,2,1,2,1,1,3,2,2,1,1,4,4,3,3,4,4,2,2,7,4,2,2206,2286,3943,1332,197,1134,3669,1107
2,2,4,4,50,4,4,4,4,43,4,4,4,6,2,2,4,3,5,2,2,1,2,1,4,2,1,1,1,4,4,4,3,4,4,3,2,7,4,2,2055,3598,3932,1450,161,1289,3236,1469
5,2,4,8,68,6,2,2,3,58,6,4,6,5,2,2,5,3,6,2,2,2,1,1,2,2,1,1,1,3,6,5,3,3,5,2,2,8,2,2,2206,2286,3943,1332,197,1134,3669,1107
6,2,4,5,52,2,4,4,2,55,6,4,6,6,3,2,100,100,5,2,1,1,1,1,2,2,1,1,1,3,4,5,5,4,4,5,3,8,2,2,2206,2286,3943,1332,197,1134,3669,1107
8,2,4,8,44,5,6,6,5,59,5,4,5,5,2,2,6,3,6,1,1,1,1,1,2,2,1,1,1,4,5,2,5,4,4,4,3,8,2,2,1545,2558,4092,1413,197,1216,3444,1143
9,2,4,6,59,4,4,4,3,43,6,6,4,6,2,2,6,99,8,2,1,2,2,1,2,2,1,1,1,4,4,3,3,5,4,2,2,9,2,2,3687,2754,4249,1438,289,1149,3566,2370
11,2,4,8,63,5,4,3,3,58,6,6,6,6,2,2,6,2,8,2,1,2,2,1,2,2,1,1,1,4,6,5,9,7,3,2,3,9,2,2,2055,3598,3932,1450,161,1289,3236,1469
14,2,4,8,62,6,5,3,3,72,6,5,6,7,2,2,8,4,8,2,2,2,1,1,3,2,1,1,1,3,4,6,3,3,5,2,2,10,2,2,1545,2558,4092,1413,197,1216,3444,1143
18,2,4,7,70,5,5,2,2,51,6,3,6,6,2,2,2,2,8,2,1,2,2,1,3,2,1,1,1,3,4,6,9,8,2,2,2,10,2,2,3687,2754,4249,1438,289,1149,3566,2370
19,3,3,8,68,3,4,4,2,80,6,6,6,5,2,2,100,100,100,1,2,2,2,1,3,2,1,1,1,3,3,3,9,7,3,3,3,3,4,2,1545,2558,4092,1413,197,1216,3444,1143
20,2,4,3,41,3,3,5,5,39,6,3,4,5,3,2,7,4,6,2,2,2,1,1,2,2,1,1,1,3,5,4,3,4,4,2,3,9,2,2,2055,3598,3932,1450,161,1289,3236,1469
21,2,4,5,52,3,4,4,4,42,6,4,6,5,3,2,6,3,7,2,2,1,2,1,3,3,1,1,1,3,3,5,3,5,4,4,2,7,2,2,2055,3598,3932,1450,161,1289,3236,1469
22,3,4,6,62,4,4,4,2,55,6,6,6,6,2,2,7,3,7,2,1,2,1,1,3,2,1,1,1,2,4,6,9,7,3,4,2,9,6,2,2055,3598,3932,1450,161,1289,3236,1469
26,2,4,7,81,6,5,6,2,52,6,4,6,6,2,2,2,2,8,2,1,2,2,1,2,2,1,1,1,6,4,3,9,9,2,2,2,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
28,2,4,6,53,5,4,4,3,62,6,6,4,5,2,2,6,3,6,2,2,2,1,1,3,2,2,1,1,2,5,3,3,6,3,2,3,7,2,2,2055,3598,3932,1450,161,1289,3236,1469
29,2,4,6,63,5,4,3,3,49,6,5,6,5,2,2,100,2,7,2,2,2,1,1,3,2,1,1,1,4,4,3,5,9,2,2,3,7,2,2,2206,2286,3943,1332,197,1134,3669,1107
31,2,2,4,34,3,3,6,3,36,6,5,2,4,3,2,100,100,2,2,1,2,1,1,2,2,1,1,1,3,3,3,2,4,4,2,2,3,2,2,1545,2558,4092,1413,197,1216,3444,1143
36,2,4,5,57,4,4,5,3,51,6,5,6,3,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,4,5,3,2,4,4,2,2,7,4,2,2206,2286,3943,1332,197,1134,3669,1107
37,2,3,8,39,2,3,6,4,44,3,3,2,3,3,2,5,3,3,1,2,1,1,1,3,2,2,2,1,3,5,4,3,6,3,3,2,3,2,2,1545,2558,4092,1413,197,1216,3444,1143
38,2,4,7,78,5,5,2,2,58,6,6,6,7,2,2,2,2,8,2,2,2,2,1,2,2,1,1,1,4,5,4,9,7,3,2,2,10,2,2,2055,3598,3932,1450,161,1289,3236,1469
39,2,4,8,58,5,6,3,3,77,6,5,6,7,2,2,5,3,6,2,2,2,2,1,2,2,1,1,1,3,5,6,3,5,4,2,2,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
40,3,4,8,72,6,6,3,2,62,6,2,6,3,2,2,8,4,7,2,2,2,2,1,2,2,1,1,1,2,5,4,9,7,3,2,3,10,2,2,2055,3598,3932,1450,161,1289,3236,1469
41,2,4,8,77,4,5,0,2,71,6,6,6,7,3,2,8,100,8,2,2,2,1,1,3,2,1,1,1,2,5,6,2,2,5,2,3,4,5,2,1545,2558,4092,1413,197,1216,3444,1143
